Faculty,1st Semester,2nd Semester,Average,Classification,Value
1312,1.5,2.6,2.05,Non-Performer,2
1313,4.8,2.7,3.75,Performer,1
1314,4,1.2,2.6,Non-Performer,2
1315,1.4,1.7,1.55,Non-Performer,2
1316,3.7,3.8,3.75,Performer,1
1317,3,3.3,3.15,Performer,1
1318,2.1,1.3,1.7,Non-Performer,2
1319,3.9,2,2.95,Non-Performer,2
1320,1.2,3.2,2.2,Non-Performer,2
1321,2.3,4.5,3.4,Performer,1
1322,2.9,4.6,3.75,Performer,1
1323,2.3,3.8,3.05,Performer,1
1324,1.3,1.6,1.45,Non-Performer,2
1325,3.4,2.9,3.15,Performer,1
1326,4.7,1.5,3.1,Performer,1
1327,4.1,4.3,4.2,Performer,1
1328,1.7,4.7,3.2,Performer,1
1329,2.9,4.6,3.75,Performer,1
1330,4.3,2.1,3.2,Performer,1
1331,3.9,3,3.45,Performer,1
1332,3.7,1.3,2.5,Non-Performer,2
1333,4.6,4.4,4.5,Performer,1
1334,4.4,1.2,2.8,Non-Performer,2
1335,1.1,2.4,1.75,Non-Performer,2
1336,4.3,4.8,4.55,Performer,1
1337,4.6,3.3,3.95,Performer,1
1338,2.3,2.4,2.35,Non-Performer,2
1339,3.3,4.8,4.05,Performer,1
1340,4.1,2.5,3.3,Performer,1
1341,2.3,1.8,2.05,Non-Performer,2
1342,3,2.9,2.95,Non-Performer,2
1343,2.6,3.9,3.25,Performer,1
1344,1.3,2.6,1.95,Non-Performer,2
1345,1.7,3.5,2.6,Non-Performer,2
1346,4.8,2.4,3.6,Performer,1
1347,4.8,4,4.4,Performer,1
1348,4.5,1.3,2.9,Non-Performer,2
1349,1.5,2.4,1.95,Non-Performer,2
1350,4.1,1.7,2.9,Non-Performer,2
1351,1.2,2.6,1.9,Non-Performer,2
1352,4.1,4.5,4.3,Performer,1
1353,2.9,4.3,3.6,Performer,1
1354,4.1,4.8,4.45,Performer,1
1355,2.9,3.9,3.4,Performer,1
1356,4.7,1.9,3.3,Performer,1
1357,1.5,4.1,2.8,Non-Performer,2
1358,1.2,1.3,1.25,Non-Performer,2
1359,3.4,3.1,3.25,Performer,1
1360,2.7,2.3,2.5,Non-Performer,2
1361,2.5,3.9,3.2,Performer,1
1362,3.1,3.5,3.3,Performer,1
1363,2.1,2.1,2.1,Non-Performer,2
1364,1.5,3.6,2.55,Non-Performer,2
1365,2.9,2.3,2.6,Non-Performer,2
1366,4.3,2.9,3.6,Performer,1
1367,4.8,3.6,4.2,Performer,1
1368,4.2,3.4,3.8,Performer,1
1369,4.7,3.3,4,Performer,1
1370,4.4,2.8,3.6,Performer,1
1371,2.2,3.9,3.05,Performer,1
1372,4.2,3.7,3.95,Performer,1
1373,4.2,3.2,3.7,Performer,1
1374,3.8,4.5,4.15,Performer,1
1375,2.9,3.8,3.35,Performer,1
1376,1.8,1.6,1.7,Non-Performer,2
1377,2.1,4,3.05,Performer,1
1378,2.1,4.8,3.45,Performer,1
1379,3.5,3.9,3.7,Performer,1
1380,3.7,3.8,3.75,Performer,1
1381,2.5,2.8,2.65,Non-Performer,2
1382,2.2,4.7,3.45,Performer,1
1383,3.4,3.7,3.55,Performer,1
1384,3.3,2.1,2.7,Non-Performer,2
1385,3.6,1.9,2.75,Non-Performer,2
1386,4.3,2.1,3.2,Performer,1
1387,3.6,3.2,3.4,Performer,1
1388,4,3.3,3.65,Performer,1
1389,2.8,4.8,3.8,Performer,1
1390,4.7,2.6,3.65,Performer,1
1391,4.5,4.5,4.5,Performer,1
1392,2.9,3.8,3.35,Performer,1
1393,3.6,4.1,3.85,Performer,1
1394,3.9,4.3,4.1,Performer,1
1395,4.6,4.3,4.45,Performer,1
1396,2.1,4.8,3.45,Performer,1
1397,3.5,4.8,4.15,Performer,1
1398,2.1,3.3,2.7,Non-Performer,2
1399,2.1,2.9,2.5,Non-Performer,2
1400,3.9,4.3,4.1,Performer,1
1401,4.2,1.5,2.85,Non-Performer,2
1402,2.8,4.1,3.45,Performer,1
1403,1.3,1.2,1.25,Non-Performer,2
1404,3,2.9,2.95,Non-Performer,2
1405,3.9,1.3,2.6,Non-Performer,2
1406,1.7,2.3,2,Non-Performer,2
1407,3.4,1.6,2.5,Non-Performer,2
1408,3.8,3.3,3.55,Performer,1
1409,3.7,1.9,2.8,Non-Performer,2
1410,2.7,1.8,2.25,Non-Performer,2
1411,1.4,1.7,1.55,Non-Performer,2
1412,2.2,4.2,3.2,Performer,1
1413,2.2,2.5,2.35,Non-Performer,2
1414,3.5,2.7,3.1,Performer,1
1415,3.2,2.3,2.75,Non-Performer,2
1416,2.3,2.6,2.45,Non-Performer,2
1417,4,2.1,3.05,Performer,1
1418,3.2,3.1,3.15,Performer,1
1419,4.3,3.8,4.05,Performer,1
1420,2.5,3.1,2.8,Non-Performer,2
1421,3.7,4.1,3.9,Performer,1
1422,2.4,1.6,2,Non-Performer,2
1423,4.7,4.9,4.8,Performer,1
1424,2,1.2,1.6,Non-Performer,2
1425,3,1.9,2.45,Non-Performer,2
1426,4.3,1.8,3.05,Performer,1
1427,3.1,3.4,3.25,Performer,1
1428,2.6,3.8,3.2,Performer,1
1429,1.4,4.4,2.9,Non-Performer,2
1430,3.4,2.9,3.15,Performer,1
1431,2.7,1.3,2,Non-Performer,2
1432,4.3,2.6,3.45,Performer,1
1433,3.4,3.9,3.65,Performer,1
1434,3.1,1.6,2.35,Non-Performer,2
1435,1.9,4,2.95,Non-Performer,2
1436,3.1,1.8,2.45,Non-Performer,2
1437,1.9,4.8,3.35,Performer,1
1438,1.5,4.2,2.85,Non-Performer,2
1439,2.5,1.5,2,Non-Performer,2
1440,4.3,1.6,2.95,Non-Performer,2
1441,2.6,4.5,3.55,Performer,1
1442,2.2,4.9,3.55,Performer,1
1443,1.7,2.3,2,Non-Performer,2
1444,1.7,1.9,1.8,Non-Performer,2
1445,1.2,3.1,2.15,Non-Performer,2
1446,1.4,4.5,2.95,Non-Performer,2
1447,3.5,3.8,3.65,Performer,1
1448,3.3,3.1,3.2,Performer,1
1449,4.4,3.5,3.95,Performer,1
1450,4.1,2.5,3.3,Performer,1
1451,2.2,3.8,3,Performer,1
1452,4.6,2.4,3.5,Performer,1
1453,1.2,2.1,1.65,Non-Performer,2
1454,4.5,3.1,3.8,Performer,1
1455,1.7,3.1,2.4,Non-Performer,2
1456,2.5,3.4,2.95,Non-Performer,2
1457,4.5,3.5,4,Performer,1
1458,3.3,3.6,3.45,Performer,1
1459,1.4,4.4,2.9,Non-Performer,2
1460,4.7,1.3,3,Performer,1
1461,2.2,3.7,2.95,Non-Performer,2
1462,4.6,1.2,2.9,Non-Performer,2
1463,2.2,2.1,2.15,Non-Performer,2
1464,4.8,2,3.4,Performer,1
1465,1.2,2,1.6,Non-Performer,2
1466,1.6,4.4,3,Performer,1
1467,2.1,1.5,1.8,Non-Performer,2
1468,2,3.2,2.6,Non-Performer,2
1469,2.5,2.8,2.65,Non-Performer,2
1470,1.3,4,2.65,Non-Performer,2
1471,4.1,2.7,3.4,Performer,1
1472,1.8,3.6,2.7,Non-Performer,2
1473,4.7,3.4,4.05,Performer,1
1474,3.5,3.5,3.5,Performer,1
1475,4.3,2.8,3.55,Performer,1
1476,2.4,4.8,3.6,Performer,1
1477,4,2.2,3.1,Performer,1
1478,3.9,2,2.95,Non-Performer,2
1479,4.9,1.2,3.05,Performer,1
1480,1.9,2.5,2.2,Non-Performer,2
1481,1.4,4.4,2.9,Non-Performer,2
1482,4.6,4.7,4.65,Performer,1
1483,4.7,2.7,3.7,Performer,1
1484,3.9,4.8,4.35,Performer,1
1485,4.6,4.5,4.55,Performer,1
1486,3.5,3.3,3.4,Performer,1
1487,1.8,3.9,2.85,Non-Performer,2
1488,2.8,2.3,2.55,Non-Performer,2
1489,3.3,4,3.65,Performer,1
1490,2.6,3.3,2.95,Non-Performer,2
1491,4.6,3,3.8,Performer,1
1492,4.4,2.8,3.6,Performer,1
1493,3.6,2.7,3.15,Performer,1
1494,3.3,2.9,3.1,Performer,1
1495,4.5,2.5,3.5,Performer,1
1496,4.7,3.2,3.95,Performer,1
1497,3.5,3,3.25,Performer,1
1498,4.4,3.7,4.05,Performer,1
1499,4.6,1.6,3.1,Performer,1
1500,3.3,4.5,3.9,Performer,1
1501,4.4,4.4,4.4,Performer,1
1502,2.6,4.4,3.5,Performer,1
1503,4.9,2.4,3.65,Performer,1
1504,1.6,3.7,2.65,Non-Performer,2
1505,2.3,2.8,2.55,Non-Performer,2
1506,2.6,2.6,2.6,Non-Performer,2
1507,4.8,2.5,3.65,Performer,1
1508,1.2,1.2,1.2,Non-Performer,2
1509,3.2,4.7,3.95,Performer,1
1510,4.5,1.6,3.05,Performer,1
1511,2.9,3.6,3.25,Performer,1
1512,3.9,4.4,4.15,Performer,1
1513,4.2,1.7,2.95,Non-Performer,2
1514,4.8,4.6,4.7,Performer,1
1515,1.5,2.4,1.95,Non-Performer,2
1516,3.4,2.6,3,Performer,1
1517,3.7,3.4,3.55,Performer,1
1518,1.5,1.7,1.6,Non-Performer,2
1519,3.1,4.4,3.75,Performer,1
1520,3.1,4.4,3.75,Performer,1
1521,2.1,4.1,3.1,Performer,1
1522,1.5,3.9,2.7,Non-Performer,2
1523,2.8,3.1,2.95,Non-Performer,2
1524,4.7,2.4,3.55,Performer,1
1525,3.1,3.5,3.3,Performer,1
1526,3.2,3.8,3.5,Performer,1
1527,2.4,2.3,2.35,Non-Performer,2
1528,3.3,4.2,3.75,Performer,1
1529,3.6,3.1,3.35,Performer,1
1530,3.5,2.1,2.8,Non-Performer,2
1531,1.9,1.3,1.6,Non-Performer,2
1532,1.7,2.7,2.2,Non-Performer,2
1533,2.9,1.7,2.3,Non-Performer,2
1534,1.8,3.9,2.85,Non-Performer,2
1535,2.9,1.8,2.35,Non-Performer,2
1536,2.8,4.9,3.85,Performer,1
1537,2.7,4.3,3.5,Performer,1
1538,3.6,1.8,2.7,Non-Performer,2
1539,1.2,4.5,2.85,Non-Performer,2
1540,1.5,2.3,1.9,Non-Performer,2
1541,3.3,3.7,3.5,Performer,1
1542,3.1,4,3.55,Performer,1
1543,4.1,1.8,2.95,Non-Performer,2
1544,2,3.4,2.7,Non-Performer,2
1545,1.2,2.6,1.9,Non-Performer,2
1546,3.2,3.6,3.4,Performer,1
1547,3.5,3.2,3.35,Performer,1
1548,4.8,4.2,4.5,Performer,1
1549,1.7,2.7,2.2,Non-Performer,2
1550,3.7,4.9,4.3,Performer,1
1551,4.8,4.3,4.55,Performer,1
1552,2.9,2.4,2.65,Non-Performer,2
1553,2.2,4.5,3.35,Performer,1
1554,3.9,2.9,3.4,Performer,1
1555,4.6,4.5,4.55,Performer,1
1556,4.4,1.4,2.9,Non-Performer,2
1557,2.6,1.7,2.15,Non-Performer,2
1558,3.4,1.1,2.25,Non-Performer,2
1559,2.1,1.8,1.95,Non-Performer,2
1560,1.5,2.2,1.85,Non-Performer,2
1561,3.3,2.6,2.95,Non-Performer,2
1562,1.6,3.8,2.7,Non-Performer,2
1563,3,1.1,2.05,Non-Performer,2
1564,2.7,4.2,3.45,Performer,1
1565,4.7,2.7,3.7,Performer,1
1566,2.9,3.4,3.15,Performer,1
1567,3.6,2.1,2.85,Non-Performer,2
1568,4.1,4.1,4.1,Performer,1
1569,3.7,2.7,3.2,Performer,1
1570,2.7,2.2,2.45,Non-Performer,2
1571,3.6,3.6,3.6,Performer,1
1572,3.2,3.8,3.5,Performer,1
1573,3.5,1.7,2.6,Non-Performer,2
1574,1.9,4.5,3.2,Performer,1
1575,1.9,1.3,1.6,Non-Performer,2
1576,1.5,2.8,2.15,Non-Performer,2
1577,2.5,3.6,3.05,Performer,1
1578,3.6,1.9,2.75,Non-Performer,2
1579,4.7,1.6,3.15,Performer,1
1580,1.6,2,1.8,Non-Performer,2
1581,3.1,4.1,3.6,Performer,1
1582,3.7,4.5,4.1,Performer,1
1583,3.7,4.7,4.2,Performer,1
1584,1.4,2.5,1.95,Non-Performer,2
1585,3,4.6,3.8,Performer,1
1586,1.6,2.7,2.15,Non-Performer,2
1587,1.4,1.5,1.45,Non-Performer,2
1588,3.1,2.1,2.6,Non-Performer,2
1589,3.9,2.5,3.2,Performer,1
1590,3.1,4.3,3.7,Performer,1
1591,1.2,2,1.6,Non-Performer,2
1592,3.3,3.6,3.45,Performer,1
1593,3.7,4.3,4,Performer,1
1594,3.4,3.1,3.25,Performer,1
1595,3.1,2.2,2.65,Non-Performer,2
1596,4.7,2.6,3.65,Performer,1
1597,4.6,2.1,3.35,Performer,1
1598,3,4.6,3.8,Performer,1
1599,1.7,1.2,1.45,Non-Performer,2
1600,1.4,1.6,1.5,Non-Performer,2
1601,4.6,2.2,3.4,Performer,1
1602,4.9,1.9,3.4,Performer,1
1603,4.8,4.2,4.5,Performer,1
1604,2,2.8,2.4,Non-Performer,2
1605,4.4,4.2,4.3,Performer,1
1606,1.6,2.6,2.1,Non-Performer,2
1607,1.3,3,2.15,Non-Performer,2
1608,3,3,3,Performer,1
1609,2.5,2.5,2.5,Non-Performer,2
1610,3.3,3,3.15,Performer,1
1611,1.4,1.7,1.55,Non-Performer,2
1612,4.3,2.9,3.6,Performer,1
1613,2,4.5,3.25,Performer,1
1614,4.1,1.8,2.95,Non-Performer,2
1615,4.6,1.5,3.05,Performer,1
1616,2.8,2.1,2.45,Non-Performer,2
1617,4.2,3.2,3.7,Performer,1
1618,3.5,4.5,4,Performer,1
1619,2.8,3,2.9,Non-Performer,2
1620,2.8,3,2.9,Non-Performer,2
1621,2.2,3.4,2.8,Non-Performer,2
1622,4,1.8,2.9,Non-Performer,2
1623,3.4,4.9,4.15,Performer,1
1624,4.5,4.4,4.45,Performer,1
1625,1.5,2.4,1.95,Non-Performer,2
1626,1.2,2.9,2.05,Non-Performer,2
1627,1.8,4.9,3.35,Performer,1
1628,4,2,3,Performer,1
1629,1.9,2.6,2.25,Non-Performer,2
1630,4,1.5,2.75,Non-Performer,2
1631,2.7,3.3,3,Performer,1
1632,2.6,1.9,2.25,Non-Performer,2
1633,1.5,2.8,2.15,Non-Performer,2
1634,2.4,3.7,3.05,Performer,1
1635,1.6,2.4,2,Non-Performer,2
1636,1.4,2.8,2.1,Non-Performer,2
1637,4.2,4.1,4.15,Performer,1
1638,1.2,3.6,2.4,Non-Performer,2
1639,2.3,3.2,2.75,Non-Performer,2
1640,4.1,4.4,4.25,Performer,1
1641,1.3,3.6,2.45,Non-Performer,2
1642,3.4,3.8,3.6,Performer,1
1643,3.2,4.7,3.95,Performer,1
1644,2.5,2.2,2.35,Non-Performer,2
1645,1.7,4.1,2.9,Non-Performer,2
1646,4.2,1.4,2.8,Non-Performer,2
1647,3.7,1.9,2.8,Non-Performer,2
1648,1.1,3.1,2.1,Non-Performer,2
1649,4,2.6,3.3,Performer,1
1650,3.3,3.4,3.35,Performer,1
1651,2.4,4.8,3.6,Performer,1
1652,1.6,4.1,2.85,Non-Performer,2
1653,4.7,3.2,3.95,Performer,1
1654,3.1,4.8,3.95,Performer,1
1655,3.3,2.6,2.95,Non-Performer,2
1656,4.8,2.6,3.7,Performer,1
1657,2.3,1.8,2.05,Non-Performer,2
1658,4.2,4.7,4.45,Performer,1
1659,1.6,3.7,2.65,Non-Performer,2
1660,2.9,1.9,2.4,Non-Performer,2
1661,4.1,4.5,4.3,Performer,1
1662,3.2,1.2,2.2,Non-Performer,2
1663,3.4,2.3,2.85,Non-Performer,2
1664,2.2,3.9,3.05,Performer,1
1665,4.7,4.3,4.5,Performer,1
1666,3,1.8,2.4,Non-Performer,2
1667,4.2,1.5,2.85,Non-Performer,2
1668,4.3,1.2,2.75,Non-Performer,2
1669,2.6,3,2.8,Non-Performer,2
1670,3.8,4,3.9,Performer,1
1671,3.1,1.3,2.2,Non-Performer,2
1672,3.6,2,2.8,Non-Performer,2
1673,3.5,4.2,3.85,Performer,1
1674,1.7,2.3,2,Non-Performer,2
1675,4.4,4.4,4.4,Performer,1
1676,3.9,2.2,3.05,Performer,1
1677,4.9,2.1,3.5,Performer,1
1678,2.2,2,2.1,Non-Performer,2
1679,2,4,3,Performer,1
1680,3,2.7,2.85,Non-Performer,2
1681,2.4,1.6,2,Non-Performer,2
1682,1.7,2.1,1.9,Non-Performer,2
1683,2.6,2.8,2.7,Non-Performer,2
1684,2,2.9,2.45,Non-Performer,2
1685,4,3.8,3.9,Performer,1
1686,1.5,4.8,3.15,Performer,1
1687,3.3,4,3.65,Performer,1
1688,4.4,2.4,3.4,Performer,1
1689,2.4,2.3,2.35,Non-Performer,2
1690,4.2,2.9,3.55,Performer,1
1691,1.2,2.3,1.75,Non-Performer,2
1692,2.9,3.9,3.4,Performer,1
1693,4,2.3,3.15,Performer,1
1694,2.9,1.6,2.25,Non-Performer,2
1695,1.3,2.2,1.75,Non-Performer,2
1696,3.4,4.7,4.05,Performer,1
1697,4.3,3,3.65,Performer,1
1698,3,3.6,3.3,Performer,1
1699,2.5,2.5,2.5,Non-Performer,2
1700,2.8,4,3.4,Performer,1
1701,1.6,1.5,1.55,Non-Performer,2
1702,1.3,2.2,1.75,Non-Performer,2
1703,1.8,4.3,3.05,Performer,1
1704,1.9,2.5,2.2,Non-Performer,2
1705,4,1.9,2.95,Non-Performer,2
1706,4.2,2.8,3.5,Performer,1
1707,1.9,2.1,2,Non-Performer,2
1708,1.3,4,2.65,Non-Performer,2
1709,4.6,4.6,4.6,Performer,1
1710,4.5,3.4,3.95,Performer,1
1711,3.7,1.2,2.45,Non-Performer,2
1712,3.7,2.5,3.1,Performer,1
1713,2,3.7,2.85,Non-Performer,2
1714,2.4,3.4,2.9,Non-Performer,2
1715,3.2,2.4,2.8,Non-Performer,2
1716,3.1,4.5,3.8,Performer,1
1717,2,1.5,1.75,Non-Performer,2
1718,3.3,4.2,3.75,Performer,1
1719,3.1,2.2,2.65,Non-Performer,2
1720,2.1,4.3,3.2,Performer,1
1721,2.1,2.4,2.25,Non-Performer,2
1722,3.3,3.3,3.3,Performer,1
1723,1.8,2.3,2.05,Non-Performer,2
1724,4.2,2.9,3.55,Performer,1
1725,2.6,3.5,3.05,Performer,1
1726,4.5,2,3.25,Performer,1
1727,1.5,3.3,2.4,Non-Performer,2
1728,3,3.3,3.15,Performer,1
1729,2.3,4.3,3.3,Performer,1
1730,3.3,4.8,4.05,Performer,1
1731,1.1,3.1,2.1,Non-Performer,2
1732,1.9,1.9,1.9,Non-Performer,2
1733,2.1,2.2,2.15,Non-Performer,2
1734,4.6,4.6,4.6,Performer,1
1735,2.3,3.7,3,Performer,1
1736,4.7,4.9,4.8,Performer,1
1737,3.4,4.7,4.05,Performer,1
1738,2.3,1.9,2.1,Non-Performer,2
1739,3.1,3.3,3.2,Performer,1
1740,2.6,1.7,2.15,Non-Performer,2
1741,4,2.6,3.3,Performer,1
1742,1.4,1.3,1.35,Non-Performer,2
1743,4.5,2.1,3.3,Performer,1
1744,1.9,4,2.95,Non-Performer,2
1745,3.7,2.8,3.25,Performer,1
1746,1.6,1.4,1.5,Non-Performer,2
1747,4.7,4.6,4.65,Performer,1
1748,4.4,3.4,3.9,Performer,1
1749,1.6,1.8,1.7,Non-Performer,2
1750,4.1,3.6,3.85,Performer,1
1751,2.2,2.4,2.3,Non-Performer,2
1752,3,3.2,3.1,Performer,1
1753,4.7,3.1,3.9,Performer,1
1754,3.4,1.9,2.65,Non-Performer,2
1755,2.5,4.7,3.6,Performer,1
1756,2.9,1.8,2.35,Non-Performer,2
1757,3.8,4.9,4.35,Performer,1
1758,2.9,3.2,3.05,Performer,1
1759,3.7,3,3.35,Performer,1
1760,3.1,3.7,3.4,Performer,1
1761,4.2,1.7,2.95,Non-Performer,2
1762,3.1,2.1,2.6,Non-Performer,2
1763,3.4,1.4,2.4,Non-Performer,2
1764,2.5,2.7,2.6,Non-Performer,2
1765,2.7,1.7,2.2,Non-Performer,2
1766,4.1,2.6,3.35,Performer,1
1767,3.3,2.9,3.1,Performer,1
1768,4,3,3.5,Performer,1
1769,1.7,4.9,3.3,Performer,1
1770,4.9,1.5,3.2,Performer,1
1771,2.3,1.4,1.85,Non-Performer,2
1772,2.4,4.3,3.35,Performer,1
1773,4.5,3.1,3.8,Performer,1
1774,2.4,1.6,2,Non-Performer,2
1775,4,3.9,3.95,Performer,1
1776,1.3,4.7,3,Performer,1
1777,3.3,4.8,4.05,Performer,1
1778,3.3,3.8,3.55,Performer,1
1779,2.4,1.7,2.05,Non-Performer,2
1780,4,1.7,2.85,Non-Performer,2
1781,2.4,3.6,3,Performer,1
1782,1.8,2.7,2.25,Non-Performer,2
1783,4.7,4.6,4.65,Performer,1
1784,2.2,4.1,3.15,Performer,1
1785,2.7,2.6,2.65,Non-Performer,2
1786,3.8,4.6,4.2,Performer,1
1787,4,3.1,3.55,Performer,1
1788,3.7,3.8,3.75,Performer,1
1789,4,2.7,3.35,Performer,1
1790,4.8,2.7,3.75,Performer,1
1791,2.8,3.4,3.1,Performer,1
1792,4.6,4.3,4.45,Performer,1
1793,2.7,1.8,2.25,Non-Performer,2
1794,2.1,3.2,2.65,Non-Performer,2
1795,1.4,1.1,1.25,Non-Performer,2
1796,4.2,2.8,3.5,Performer,1
1797,3.5,4.6,4.05,Performer,1
1798,2.9,1.8,2.35,Non-Performer,2
1799,3.1,3.4,3.25,Performer,1
1800,4.1,3.2,3.65,Performer,1
1801,4.3,4,4.15,Performer,1
1802,3.6,2,2.8,Non-Performer,2
1803,4.7,4.2,4.45,Performer,1
1804,1.6,1.5,1.55,Non-Performer,2
1805,3.2,2.5,2.85,Non-Performer,2
1806,3.4,3.2,3.3,Performer,1
1807,3.2,1.3,2.25,Non-Performer,2
1808,3.3,4.6,3.95,Performer,1
1809,2.7,2.2,2.45,Non-Performer,2
1810,2.8,2.2,2.5,Non-Performer,2
1811,1.7,1.2,1.45,Non-Performer,2
1812,2.3,4,3.15,Performer,1
1813,1.4,2,1.7,Non-Performer,2
1814,2.2,3.6,2.9,Non-Performer,2
1815,3.2,2.7,2.95,Non-Performer,2
1816,3.5,2.6,3.05,Performer,1
1817,2.8,1.4,2.1,Non-Performer,2
1818,1.6,3.9,2.75,Non-Performer,2
1819,1.7,3.6,2.65,Non-Performer,2
1820,3.7,1.4,2.55,Non-Performer,2
1821,4.6,3.1,3.85,Performer,1
1822,2.7,2.9,2.8,Non-Performer,2
1823,1.7,1.4,1.55,Non-Performer,2
1824,1.3,2.5,1.9,Non-Performer,2
1825,2.1,4.7,3.4,Performer,1
1826,3.4,3.5,3.45,Performer,1
1827,1.6,2.6,2.1,Non-Performer,2
1828,3,3.4,3.2,Performer,1
1829,2.7,3.7,3.2,Performer,1
1830,3.9,2.9,3.4,Performer,1
1831,4.2,4.2,4.2,Performer,1
1832,1.2,3.2,2.2,Non-Performer,2
1833,3.2,2.3,2.75,Non-Performer,2
1834,3.6,3.9,3.75,Performer,1
1835,4.4,4,4.2,Performer,1
1836,4.3,3.8,4.05,Performer,1
1837,2.9,2.2,2.55,Non-Performer,2
1838,2.9,4.3,3.6,Performer,1
1839,1.2,1.6,1.4,Non-Performer,2
1840,1.5,3.4,2.45,Non-Performer,2
1841,2.8,4.8,3.8,Performer,1
1842,3.6,1.3,2.45,Non-Performer,2
1843,4.9,2.6,3.75,Performer,1
1844,2,1.3,1.65,Non-Performer,2
1845,4,3.8,3.9,Performer,1
1846,1.3,3.3,2.3,Non-Performer,2
1847,1.5,1.9,1.7,Non-Performer,2
1848,4.4,3.3,3.85,Performer,1
1849,1.8,1.3,1.55,Non-Performer,2
1850,2.8,3,2.9,Non-Performer,2
1851,2.4,4.6,3.5,Performer,1
1852,1.6,2.6,2.1,Non-Performer,2
1853,2.1,3.2,2.65,Non-Performer,2
1854,1.8,4,2.9,Non-Performer,2
1855,2.6,1.3,1.95,Non-Performer,2
1856,2,4.3,3.15,Performer,1
1857,3.5,2.1,2.8,Non-Performer,2
1858,1.3,1.2,1.25,Non-Performer,2
1859,4.6,2.4,3.5,Performer,1
1860,2.2,4.4,3.3,Performer,1
1861,3.5,3.4,3.45,Performer,1
1862,1.9,1.3,1.6,Non-Performer,2
1863,2.3,4.8,3.55,Performer,1
1864,1.2,1.4,1.3,Non-Performer,2
1865,3.2,4.6,3.9,Performer,1
1866,1.4,4.4,2.9,Non-Performer,2
1867,2.1,3.8,2.95,Non-Performer,2
1868,3.4,2.8,3.1,Performer,1
1869,3.9,4.2,4.05,Performer,1
1870,2.9,1.9,2.4,Non-Performer,2
1871,1.6,4.5,3.05,Performer,1
1872,2.5,4.4,3.45,Performer,1
1873,1.8,2.2,2,Non-Performer,2
1874,4,1.7,2.85,Non-Performer,2
1875,1.5,3.8,2.65,Non-Performer,2
1876,3.5,2.6,3.05,Performer,1
1877,4.4,3.6,4,Performer,1
1878,3.6,2.7,3.15,Performer,1
1879,4.9,3.5,4.2,Performer,1
1880,2.7,1.6,2.15,Non-Performer,2
1881,1.3,1.6,1.45,Non-Performer,2
1882,1.6,4,2.8,Non-Performer,2
1883,1.8,4.1,2.95,Non-Performer,2
1884,3.9,2.3,3.1,Performer,1
1885,1.9,2.9,2.4,Non-Performer,2
1886,1.7,4.3,3,Performer,1
1887,3.3,2.5,2.9,Non-Performer,2
1888,2,1.6,1.8,Non-Performer,2
1889,3.8,4.2,4,Performer,1
1890,3.5,1.8,2.65,Non-Performer,2
1891,3.1,4,3.55,Performer,1
1892,1.4,2.2,1.8,Non-Performer,2
1893,3.4,3.6,3.5,Performer,1
1894,2.9,1.4,2.15,Non-Performer,2
1895,1.8,4.2,3,Performer,1
1896,4.6,3.9,4.25,Performer,1
1897,3.9,1.4,2.65,Non-Performer,2
1898,2.8,2.2,2.5,Non-Performer,2
1899,2.1,4,3.05,Performer,1
1900,4.3,2.6,3.45,Performer,1
1901,2.4,2,2.2,Non-Performer,2
1902,3.6,1.9,2.75,Non-Performer,2
1903,2,4,3,Performer,1
1904,1.4,2.3,1.85,Non-Performer,2
1905,2.4,3.3,2.85,Non-Performer,2
1906,2,3.8,2.9,Non-Performer,2
1907,2.6,2.1,2.35,Non-Performer,2
1908,4,4.8,4.4,Performer,1
1909,3.3,3.5,3.4,Performer,1
1910,3.2,1.9,2.55,Non-Performer,2
1911,3.1,2.3,2.7,Non-Performer,2
1912,3.9,3.4,3.65,Performer,1
1913,4.6,3.6,4.1,Performer,1
1914,2,2.4,2.2,Non-Performer,2
1915,4.5,2.9,3.7,Performer,1
1916,1.3,3.7,2.5,Non-Performer,2
1917,2.5,3,2.75,Non-Performer,2
1918,3.6,2.1,2.85,Non-Performer,2
1919,4.7,4.3,4.5,Performer,1
1920,3.4,3.8,3.6,Performer,1
1921,4.3,3.9,4.1,Performer,1
1922,2.6,3.1,2.85,Non-Performer,2
1923,2.1,3.2,2.65,Non-Performer,2
1924,3.5,3.3,3.4,Performer,1
1925,4.9,4,4.45,Performer,1
1926,1.7,2.4,2.05,Non-Performer,2
1927,3.8,3.2,3.5,Performer,1
1928,2.6,3.3,2.95,Non-Performer,2
1929,3.9,3,3.45,Performer,1
1930,3.4,3.4,3.4,Performer,1
1931,3.9,1.6,2.75,Non-Performer,2
1932,2.9,3.2,3.05,Performer,1
1933,2.4,3.3,2.85,Non-Performer,2
1934,3,3.3,3.15,Performer,1
1935,4.5,3.3,3.9,Performer,1
1936,1.3,3.9,2.6,Non-Performer,2
1937,1.3,4.5,2.9,Non-Performer,2
1938,2.8,3,2.9,Non-Performer,2
1939,3,4.5,3.75,Performer,1
1940,4.7,3.8,4.25,Performer,1
1941,4.5,4.4,4.45,Performer,1
1942,2.2,2.1,2.15,Non-Performer,2
1943,3,3.5,3.25,Performer,1
1944,2.6,4.7,3.65,Performer,1
1945,1.9,2.8,2.35,Non-Performer,2
1946,2.9,3.9,3.4,Performer,1
